post_id,user_name,post_type,post_country,post_language,likes_cnt,comments_cnt,saved_cnt,genre,hash_tags,description
75e53ac4-7a48-427f-bfa9-d8f629b4fd96,lucy_heart,Text,Germany,English,312,419,90,Nature,"['mountains', 'forest', 'wildlife']","A post related to nature featuring mountains, forest."
34e1d844-47ed-4d69-9ad7-ed624abb2317,bob_builder,Link,Canada,French,638,133,3,Cooking,"['kitchen', 'food']","A post related to cooking featuring kitchen, food."
5d30b095-74a1-49d9-b037-59adbe358e54,bob_builder,Image,India,German,108,247,125,Tech,"['machinelearning', 'data']","A post related to tech featuring machinelearning, data."
6811c717-4de9-41c5-962c-12a89e651cec,bob_builder,Video,Germany,German,272,332,293,Travel,"['adventure', 'sunset']","A post related to travel featuring adventure, sunset."
3a3afe92-e2a2-4bfe-977b-44949f6bbed8,john_doe,Image,Germany,Hindi,197,470,35,Nature,"['flowers', 'river', 'forest', 'mountains']","A post related to nature featuring flowers, river."
776e05dc-5678-49c1-83e2-b3e3dac533d0,john_doe,Image,USA,German,684,98,170,Fitness,"['running', 'yoga', 'training']","A post related to fitness featuring running, yoga."
aaa49b93-9172-4433-9541-c8924b022889,bob_builder,Video,Canada,French,299,248,180,Travel,"['sunset', 'beach', 'nature', 'adventure']","A post related to travel featuring sunset, beach."
3eac6ec7-c1f2-4b63-9114-fdb5a9958ab8,jane_doe,Image,Australia,English,321,486,273,Travel,"['beach', 'sunset', 'nature']","A post related to travel featuring beach, sunset."
7b8274ba-21f6-4621-8248-0efe8bc883c1,alice_wonder,Link,Canada,Spanish,785,352,51,Education,"['learning', 'classroom', 'coding']","A post related to education featuring learning, classroom."
8b616d34-ac83-45e3-8436-8dd4de8b085a,lucy_heart,Text,Germany,German,567,404,229,Tech,"['machinelearning', 'data']","A post related to tech featuring machinelearning, data."
67d548a0-3a5d-4ae7-996c-de00dfe313cf,bob_builder,Image,Australia,French,368,222,77,Cooking,"['food', 'kitchen', 'baking']","A post related to cooking featuring food, kitchen."
9097fdf4-0190-4c24-9bd9-42882d903704,alice_wonder,Image,USA,Hindi,754,66,44,Travel,"['sunset', 'beach']","A post related to travel featuring sunset, beach."
730de440-5889-462f-bb3e-5271a3c36ae4,john_doe,Video,Germany,German,601,423,291,Education,"['learning', 'books', 'students']","A post related to education featuring learning, books."
829ece76-9a6e-4e31-9995-d6be418837ec,jane_doe,Image,Australia,French,822,44,7,Education,"['books', 'learning', 'students']","A post related to education featuring books, learning."
22195261-e1a1-45d4-ae09-add240937ebb,jane_doe,Text,Germany,French,634,33,207,Education,"['classroom', 'learning', 'students', 'coding']","A post related to education featuring classroom, learning."
a8ba0749-87f6-40d9-b1c1-820e8e7ba620,jane_doe,Image,Germany,Spanish,833,156,245,Cooking,"['homemade', 'baking']","A post related to cooking featuring homemade, baking."
4329d442-7200-419d-9414-d1327ce5f44f,alice_wonder,Video,Australia,Spanish,246,457,152,Travel,"['beach', 'adventure']","A post related to travel featuring beach, adventure."
27590ebf-9800-47b3-95c1-0bc9c108dabd,jane_doe,Video,USA,French,893,299,106,Fitness,"['running', 'workout']","A post related to fitness featuring running, workout."
6adf73e2-531a-4e12-88ec-bfdebd698609,jane_doe,Text,Canada,French,752,499,15,Travel,"['vacation', 'nature']","A post related to travel featuring vacation, nature."
192e4d1f-5162-4b1f-908b-71034233f8b6,lucy_heart,Link,India,German,655,52,70,Travel,"['adventure', 'vacation', 'beach', 'nature']","A post related to travel featuring adventure, vacation."
d182a7fc-e98c-4230-96ae-b0e29b79e5be,alice_wonder,Video,Canada,Hindi,173,244,260,Nature,"['forest', 'mountains', 'flowers', 'wildlife']","A post related to nature featuring forest, mountains."
8d56d6d8-635b-4f84-9e9d-1deb2bd6e3e1,mark_smith,Link,USA,German,208,500,189,Travel,"['nature', 'vacation', 'adventure', 'beach']","A post related to travel featuring nature, vacation."
93981562-d31c-4fb8-9684-ad9743acc4a6,mark_smith,Link,India,English,223,193,172,Travel,"['beach', 'nature', 'sunset', 'vacation']","A post related to travel featuring beach, nature."
b5695b46-fc2d-4853-8d86-13e4d0666cad,mark_smith,Link,India,French,719,365,71,Tech,"['coding', 'python']","A post related to tech featuring coding, python."
455f5152-f3b9-499a-a423-5a1ab2a85805,bob_builder,Link,Germany,German,448,75,161,Tech,"['data', 'python']","A post related to tech featuring data, python."
e417241a-2207-4437-81ef-169e33662c66,mark_smith,Video,USA,English,376,30,12,Tech,"['python', 'coding', 'data', 'machinelearning']","A post related to tech featuring python, coding."
611d0983-9785-4b05-ac22-49386f3eba5d,john_doe,Video,Germany,English,706,33,6,Nature,"['forest', 'river', 'flowers', 'mountains']","A post related to nature featuring forest, river."
1dc23bcd-94ad-4b69-b52b-0961631c88e5,alice_wonder,Video,Australia,German,31,37,277,Travel,"['adventure', 'sunset', 'vacation']","A post related to travel featuring adventure, sunset."
85df62b9-9eb9-408b-a88a-083f4da3a66d,jane_doe,Image,India,German,269,105,209,Cooking,"['baking', 'homemade', 'food', 'recipe']","A post related to cooking featuring baking, homemade."
b2a2375d-a862-4f54-b8c9-2b2bb3ec1926,mark_smith,Link,Australia,Spanish,561,140,282,Travel,"['adventure', 'nature', 'vacation', 'beach']","A post related to travel featuring adventure, nature."
45d1f243-fb3d-4862-ac13-b92df2c000ea,mark_smith,Text,Australia,German,642,415,294,Travel,"['vacation', 'nature']","A post related to travel featuring vacation, nature."
78e3c90f-c2d7-49fc-b64e-d36aaed7f86a,bob_builder,Link,Germany,Spanish,568,25,163,Cooking,"['recipe', 'homemade', 'baking']","A post related to cooking featuring recipe, homemade."
